"item_id","ingredient_list","source_branded_food_category"
"2303707","BEEF AND PORK, WATER, DEXTROSE, SALT, FLAVORINGS, PAPRIKA, SODIUM PHOSPHATE HYDROLYZED SOY PROTEIN, MONOSODIUM GLUTAMATE, SODIUM ERYTHOBATE, SODIUM NITRITE.","Sausages, Hotdogs & Brats"
"2391770","NOODLE INGREDIENTS: WATER, KONJAC FLOUR, CITRIC ACID. BROTH INGREDIENTS: CHICKEN BONE BROTH, CHICORY ROOT, YEAST EXTRACT, SALT, NATURAL FLAVORS, BLACK PEPPER, SAGE, THYME","Other Soups"
"498284","FILTERED WATER, ORGANIC BUTTERNUT SQUASH, ORGANIC POTATOES, ORGANIC ONIONS, ORGANIC CARROTS, ORGANIC EVAPORATED CANE SYRUP, ORGANIC HONEY, ORGANIC TAPIOCA STARCH, ORGANIC GARLIC, SEA SALT, ORGANIC SPICES, ORGANIC EXPELLER PRESSED CANOLA OIL AND/OR ORGANIC SAFFLOWER OIL AND/OR ORGANIC SUNFLOWER OIL.","Other Soups"
"1181387","WATER, LENTILS, POTATOES, CARROTS, WHEAT FLOUR, ONIONS, SALT, MODIFIED CORN STARCH, LEEK, CANOLA OIL, TOMATO PASTE, ARTIFICIAL FLAVORING (INCLUDING SOYBEANS), SPIRIT VINEGAR, SUGAR, GUAR GUM, CARAMEL, ASCORBIC ACID, SPICES.","Canned Soup"
"1627021","WATER, TOMATO PUREE (WATER, TOMATO PASTE), ENRICHED SPAGHETTI (ENRICHED WHEAT FLOUR [WHEAT, FERROUS SULFATE, NIACIN, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID]), HIGH FRUCTOSE CORN SYRUP, CONTAINS LESS THAN 2% OF: SALT, DEHYDRATED CHEDDAR CHEESE (CHEDDAR CHEESE [CULTURED MILK, SALT, ENZYMES], WHEY [MILK], SALT, SODIUM PHOSPHATE), ENZYME MODIFIED CHEDDAR CHEESE (CHEDDAR CHEESE [CULTURED MILK, SALT, ENZYMES, CALCIUM CHLORIDE], WATER, DISODIUM PHOSPHATE, ENZYMES), DEXTROSE, CITRIC ACID, ENZYME MODIFIED BUTTER, SKIM MILK, ONION EXTRACT, FLAVORING.","Canned Soup"
"619348","FILTERED WATER, ORGANIC VEGETABLES (TOMATOES, CORN, ONIONS, CHILIES, GARLIC, CILANTRO), ORGANIC BLACK BEANS, ORGANIC MASA HARINA, ORGANIC VEGETABLE BASE (ORGANIC VEGETABLES [CARROT, ONION, CELERY], SALT, ORGANIC SPICES), SEA SALT, ORGANIC CORN STARCH, ORGANIC CANE SUGAR, CITRIC ACID.","Other Soups"
"373466","FILTERED WATER, POTATOES*, ONIONS*, CELERY*, LEEKS*, CREAM* (MILK), VEGETABLE BASE* (WATER, CARROTS*, ONIONS*, CELERY*, SEA SALT, CANE SUGAR*, CORN STARCH*, VEGETABLE FLAVOR*, GARLIC POWDER*, TURMERIC*, CITRIC ACID), EXTRA VIRGIN OLIVE OIL*, UNSALTED BUTTER*, SEA SALT, SPICES*.","Other Soups"
"2399725","TOASTED PASTA (WHEAT SEMOLINA, THIAMIN MONONITRATE, NIACIN, RIBOFLAVIN, FOLIC ACID, FERROUS FUMARATE, CALCIUM CARBONATE), SALT, CORN STARCH, POWDERED COOKED CHICKEN, SUGAR, MONOSODIUM GLUTAMATE, CHICKEN FAT, YEAST EXTRACT (BARLEY), HYDROLYZED CORN PROTEIN, NATURAL AND ARTIFICIAL FLAVOR (EGG), MALTODEXTRIN, SILICON DIOXIDE (PREVENTS CAKING), DEHYDRATED PARSLEY, DISODIUM INOSINATE, SPICE, TAPIOCA DEXTRIN, CITRIC ACID, TURMERIC (COLOR), WHEY (MILK), L-CYSTEINE HYDROCHLORIDE, ONION POWDER, SUCCINIC ACID, ANNATTO (COLOR).","Other Soups"
"2385942","ROASTED CHICKEN, YEAST EXTRACT, MALTODEXTRIN, SALT, SAUTEED VEGETABLE PUREES (CARROT, CELERY, ONION), SUGAR, ONION POWDER, BAY LEAF, NATURAL FLAVORS, DRIED PARSLEY, CARROT POWDER, THYME, CANOLA OIL, TURMERIC, CARROT EXTRACT.","Other Soups"
"554113","SALT, HYDROLYZED SOY PROTEIN, CORN GLUTEN AND WHEAT PROTEIN, SUGAR, BEEF FAT (BHA, PROPYL GALLATE, AND CITRIC ACID ADDED TO PROTECT FLAVOR), MONOSODIUM GLUTAMATE, SOYBEAN OIL, CARAMEL COLOR, ONION POWDER, SPICE, DISODIUM INOSINATE, DISODIUM GUANYLATE, NATURAL FLAVORING, OLEORESIN PAPRIKA.","Other Soups"
"2215510","WATER, CHICKEN RAISED WITHOUT ANTIBIOTICS, CARROTS, ENRICHED PASTA (SEMOLINA WHEAT FLOUR, EGGS, EGG WHITES, NIACIN, FERROUS SULFATE, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), CELERY, CONTAINS 2% OR LESS OF: ONIONS, CHICKEN STOCK, NATURAL FLAVOR, SEA SALT, CHICKEN FAT, CORN STARCH, BUTTER (CREAM, SALT), GARLIC, YEAST EXTRACT, PARSLEY, THYME, ONION POWDER, TURMERIC, ACACIA & XANTHAN GUM, NISIN PREPARATION AND SPICES.","Other Soups"
"1747707","ENRICHED WHEAT FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), PALM OIL, POTATO STARCH, MODIFIED POTATO STARCH, SALT, MALTODEXTRIN, CONTAINS LESS THAN 2% OF: ANCHOVY EXTRACT*, BEEF BONE EXTRACT*, BEEF EXTRACT*, BEEF FAT*, BLACK PEPPER, CITRIC ACID, CORN SYRUP, DEFATTED SOY FLOUR, DEXTROSE, DISODIUM GUANYLATE, DISODIUM INOSINATE, DISODIUM SUCCINATE, DRIED FLAKES (GREEN ONION, MUSHROOM, CARROT, BOK CHOY, RED CHILI PEPPER), FRUCTOSE SYRUP, GARLIC*, GUM ARABIC, HYDROLYZED CORN PROTEIN, HYDROLYZED SOY PROTEIN, HYDROLYZED WHEAT PROTEIN, MODIFIED TAPIOCA STARCH, MUSHROOM*, MUSHROOM EXTRACT*, NATURAL FLAVORS (SESAME), ONION*, POLYGLYCEROL ESTERS OF FATTY ACIDS, POTASSIUM CARBONATE, RADISH EXTRACT*, RED CHILI PEPPER*, RIBOFLAVIN (COLOR), SODIUM CARBONATE, SODIUM PHOSPHATES, SOY LECITHIN, SOYBEAN SPROUT EXTRACT*, SUGAR, TOCOPHEROLS (ANTIOXIDANT), WHEAT STARCH, YEAST EXTRACT, YELLOW CORN FLOUR.","Other Soups"
"1818475","SMALL RED CHILI BEANS, SPICES (CUMIN, CHILI POWDER, PARSLEY), AND SALT.","Other Soups"
"2395379","INGREDIENTS: ENRICHED WHEAT FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), CRACKED WHEAT, HIGH OLEIC SUNFLOWER OIL, CONTAINS 2% OR LESS OF: LEAVENING (AMMONIUM BICARBONATE, BAKING SODA), SALT, MALTED BARLEY EXTRACT, YEAST, ENZYMES.","Crackers & Biscotti"
"1651947","ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE [VITAMIN B1], RIBOFLAVIN [VITAMIN B2], FOLIC ACID), SUGAR, SEMISWEET CHOCOLATE CHUNKS (SUGAR, CHOCOLATE, DEXTROSE, COCOA BUTTER, SOY LECITHIN - AN EMULSIFIER, SALT, VANILLA), PALM OIL, SEMISWEET CHOCOLATE CHIPS (SUGAR, CHOCOLATE, COCOA BUTTER, DEXTROSE, SOY LECITHIN - AN EMULSIFIER), SOYBEAN OIL, MOLASSES, HIGH FRUCTOSE CORN SYRUP, LEAVENING (BAKING SODA, MONOCALCIUM PHOSPHATE), SALT, SOY LECITHIN (EMULSIFIER), ARTIFICIAL FLAVOR, CARAMEL COLOR.","Cookies & Biscuits"
"2609036","DARK CHOCOLATE (UNSWEETENED CHOCOLATE**, SUGAR, COCOA BUTTER**, SUNFLOWER AND/OR SOY LECITHIN), ENRICHED WHEAT FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), PALM OIL+, SUGAR, LOW FAT COCOA POWDER**, SUGAR CANE FIBER, SOY LECITHIN, SALT, VANILLA EXTRACT, SEA SALT.","Cookies & Biscuits"
"1960718","WHEAT FLOUR, BUTTER (MILK), SUGAR, EGGS, WATER, MERINGUE MAKING POWDER (EGG WHITES, SUGAR, CORNSTARCH, XANTHAN GUM, SOY LECITHIN, LOCUST BEAN GUM, SODIUM ALUMINUM SULFATE, IODIZED SALT, GELATIN, TARTARIC ACID, CREAM OF TARTAR, MILK), CORN SYRUP, NATURAL FLAVOR, RED NO. 40, BLUE NO. 1, YELLOW NO. 5, BLUE NO. 2, GUAR GUM AND POTASSIUM SORBATE AS PRESERVATIVE.","Cookies & Biscuits"
"1856127","ENRICHED WHEAT FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, HIGH OLEIC SUNFLOWER OIL WITH ROSEMARY EXTRACT, DEHYDRATED POTATOES, CHIA SEED, QUINOA FLOUR, CONTAINS 2% OR LESS OF EACH OF THE FOLLOWING: SEA SALT, SOY PROTEIN CONCENTRATE, SUGAR, WHEAT FLOUR, LACTIC ACID, ENZYMES, NATURAL FLAVORS, OAT FIBER, YEAST.","Crackers & Biscotti"
"1624543","UNBLEACHED ENRICHED FLOUR (WHEAT FLOUR, NIACIN, IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), HIGH OLEIC SAFFLOWER OIL, SALT, CONTAINS 2% OR LESS OF: BAKING SODA, ENZYMES, YEAST, MALTED BARLEY FLOUR, SOY LECITHIN.","Crackers & Biscotti"
"659960","CRACKER: ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, VITAMIN B1 [THIAMIN MONONITRATE], VITAMIN B2 [RIBOFLAVIN], FOLIC ACID), SOYBEAN OIL WITH TBHQ FOR FRESHNESS, CHEESE MADE WITH SKIM MILK (SKIM MILK, WHEY PROTEIN, CHEESE CULTURES, SALT, ENZYMES, ANNATTO EXTRACT COLOR), SUGAR, CHEDDAR CHEESE (CULTURED MILK, SALT, ENZYMES), SALT, LEAVENING (SODIUM ACID PYROPHOSPHATE, BAKING SODA, MONOCALCIUM PHOSPHATE), PAPRIKA COLOR, SODIUM CASEINATE, NATURAL FLAVOR, PAPRIKA OLEORESIN COLOR, SODIUM SULFITE, XANTHAN GUM, POTASSIUM SORBATE, ANNATTO COLOR, ENZYME. FILLING: VEGETABLE OIL (SOYBEAN, PALM, AND PALM KERNEL OIL WITH TBHQ FOR FRESHNESS), MALTODEXTRIN, CORNSTARCH, CHEDDAR CHEESE (PASTEURIZED MILK, CHEESE CULTURES, SALT, ENZYMES), ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, VITAMIN B1 [THIAMIN MONONITRATE], VITAMIN B2 [RIBOFLAVIN], FOLIC ACID), WHEY, CORN SYRUP SOLIDS, YEAST EXTRACT, SALT, CHEESE MADE WITH SKIM MILK (SKIM MILK, WHEY PROTEIN, CHEESE CULTURES, SALT, ENZYMES, ANNATTO EXTRACT COLOR), NATURAL AND ARTIFICIAL FLAVORS, SUGAR, LACTIC ACID, DISODIUM INOSINATE, DISODIUM GUANYLATE, ANNATTO EXTRACT COLOR, PAPRIKA EXTRACT COLOR, CHEDDAR CHEESE FLAVOR (CHEDDAR CHEESE [MILK, CULTURES, SALT, ENZYMES], WATER, SODIUM CASEINATE, NATURAL FLAVOR, SALT, POTASSIUM SORBATE, XANTHAN GUM, ANNATTO), LEAVENING (SODIUM ACID PYROPHOSPHATE, BAKING SODA, MONOCALCIUM PHOSPHATE), PAPRIKA COLOR, SODIUM SULFITE, PEANUT BUTTER (ROASTED PEANUTS).","Crackers & Biscotti"
"1819197","WHEAT FLOUR, FLAXSEEDS, DRIED FIGS (10.5%) [FIGS, RICE FLOUR], RAW SUGAR, HONEY, PECANS (6.6%), GREEK YOGHURT (WHOLE MILK, CREAM [MILK], LIVE CULTURES), SODIUM BICARBONATE, SALT.","Crackers & Biscotti"
"1866999","ORGANIC BROWN RICE FLOUR, ORGANIC CHESTNUTS FLOUR (30%) AND SEA SALT.","Crackers & Biscotti"
"1854315","WHOLE WHEAT, VEGETABLE OIL (CONTAINS ONE OR MORE OF THE FOLLOWING: PALM, CANOLA, SOYBEAN WITH TBHQ FOR FRESHNESS), ROSEMARY SEASONING (MALTODEXTRIN, DEXTROSE, SALT, ONION POWDER, SUGAR, SPICES, GARLIC POWDER, MONOSODIUM GLUTAMATE, NATURAL FLAVOR, SULFITES), EXTRA VIRGIN OLIVE OIL.","Crackers & Biscotti"
"1582868","WHOLE WHEAT FLOUR, ORGANIC CANE SUGAR, ORGANIC OATS, ORGANIC PALM OIL, ORGANIC FLAX SEEDS, WATER, APPLES, ORGANIC SESAME SEEDS, ORGANIC BROWN SUGAR, YEAST, SEA SALT AND VANILLA EXTRACT","Crackers & Biscotti"
"2411950","WHOLE GRAIN WHEAT FLOUR, SUGAR, CANOLA OIL, CORNSTARCH, MALT SYRUP (FROM CORN AND BARLEY), SALT, REFINER'S SYRUP, LEAVENING (CALCIUM PHOSPHATE AND BAKING SODA).","Crackers & Biscotti"
"1226183","WHEAT FLOUR, SUGAR, VEGETABLE SHORTENING (SOYBEAN AND PALM OIL), WHOLE EGGS, POWDERED MILK, VANILLA, ARTIFICIAL ORANGE FLAVOR, CARAMEL COLOR, RASPBERRY FILLING (RASPBERRY, CORN SYRUP, WATER, PECTIN, CITRIC ACID, MONO & DIGLYCERIDES, CALCIUM CARRAGEENAN, MICROCRYSTALLINE CELLULOSE, CELLULOSE GUM, SODIUM CITRATE, 1/100 OF 1% SODIUM BENZOATE USED AS A PRESERVATIVE.","Croissants, Sweet Rolls, Muffins & Other Pastries"
"595713","SUGAR, BLEACHED WHEAT FLOUR, WATER, SOYBEAN OIL, EGGS, MODIFIED CORNSTARCH, DEXTROSE, WHEY, FRUCTOSE, GLYCERIN, LEAVENING (BAKING SODA, SODIUM ACID PYROPHOSPHATE, MONOCALCIUM PHOSPHATE), MONO- AND DIGLYCERIDES, SALT, CORNSTARCH, NATURAL FLAVOR, SODIUM STEAROYL LACTYLATE, SORBITAN MONOSTEARATE, POTASSIUM SORBATE (PRESERVATIVE), XANTHAN GUM, SOY LECITHIN, CARNAUBA WAX, POLYSORBATE 60, CELLULOSE GUM, CALCIUM SULFATE, WHEY PROTEIN CONCENTRATE.","Croissants, Sweet Rolls, Muffins & Other Pastries"
"2442126","CAKE: PINEAPPLE, CANE SUGAR, CARROTS, RICE FLOUR, MAYONNAISE (SAFFLOWER OIL, WHOLE EGGS, VINEGAR, WATER, EGG YOLKS, SALT, EGG WHITES, EVAPORATED CANE JUICE, SPICE, LEMON JUICE CONCENTRATE, HONEY, NATURAL FLAVORS, PAPRIKA EXTRACTIVES), EGGS, POTATO STARCH, SOY FLOUR, BAKING SODA, NUTMEG, CINNAMON, CLOVES, GINGER, XANTHAN GUM, SALT. FROSTING: POWDERED SUGAR, (CANE SUGAR, TAPIOCA STARCH), CREAM CHEESE (PASTEURIZED NONFAT MILK AND MILKFAT, CHEESE CULTURE, WHEY PROTEIN CONCENTRATE, SALT, GUAR GUM, CAROB BEAN GUM), UNSALTED BUTTER (CREAM), VANILLA EXTRACT.","Cakes, Cupcakes, Snack Cakes"
"2473308","SUGAR, WATER, ENRICHED BLEACHED WHEAT FLOUR (FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), SOYBEAN OIL, EGGS, VEGETABLE SHORTENING (PALM OIL, DISTILLED MONOGLYCERIDES, POLYSORBATE 60, CITRIC ACID), CORN SYRUP, CONTAINS LESS THAN 2 % OF: MODIFIED CORN STARCH, COCOA PROCESSED WITH ALKALI, FOOD STARCH-MODIFIED, WHEY, VITAL WHEAT GLUTEN, PROPYLENE GLYCOL MONOESTERS, MONO AND DIGLYCERIDES, PALM OIL, OLEYL LACTYLIC ACID, CULTURED DAIRY FLAVOR, DATEM, SOY LECITHIN (AN EMULSIFIER), SALT, SODIUM BICARBONATE, SODIUM ALUMINUM PHOSPHATE, CORN SYRUP SOLIDS, CORN STARCH, DEXTROSE, TITANIUM DIOXIDE, SORBITAN MONOSTEARATE, POTASSIUM, SORBATE, SODIUM, PROPIONATE, AND SODIUM BENZOATE (PRESERVATIVES), GUAR GUM, CHOCOLATE LIQUOR, NATURAL AND ARTIFICIAL FLAVORS, ANTIOXIDANTS (TOCOPHEROLS, ASCORBIC ACID, CITRIC ACID), CARBOXYMETHYLCELLULOSE, POLYSORBATE 60, CITRIC ACID, ANNATTO, TURMERIC EXTRACT, BETA CAROTENE, PHOSPHORIC ACID, ENZYMES, GLYCERIN, ALCOHOL, XANTHAN GUM, RED 40","Cakes, Cupcakes, Snack Cakes"
"2668544","ENRICHED WHEAT FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONI- TRATE, RIBOFLAVIN, FOLIC ACID), SUGAR, SOYBEAN OIL, EGGS, WATER, BUTTERMILK (NONFAT MILK, DRY BUTTERMILK, BACTERI- AL CULTURE), POPPY SEEDS, LEM- ON PULP, MARGARINE (SOYBEAN OIL, PALM AND MODIFIED PALM OIL, WATER, CANOLA OIL, SALT, WHEY, MONOGLYCERIDES OF FATTY ACIDS, SOY LECITHIN, CITRIC ACID, NATURAL FLAVOR, ANNATTO EXTRACT [COLOR] AND TURMERIC [COLOR], VITAMIN A PALMITATE, VITAMIN D3), WHEY, LEAVENING (BAKING SODA, SODIUM ALUMI- NUM PHOSPHATE, MONOCALCIUM PHOSPHATE), SALT, DEXTROSE, MONO- AND DIGLYCERIDES, SODI- UM STEAROYL LACTYLATE, XAN- THAN GUM, CITRIC ACID, NATURAL AND ARTIFICIAL FLAVOR, CELLU- LOSE GUM.","Croissants, Sweet Rolls, Muffins & Other Pastries"
"840928","ENRICHED FLOUR, (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN AND FOLIC ACID), SUGAR, SOYBEAN OIL, WHOLE EGGS, WATER, MODIFIED CORN STARCH, CHOCOLATE CHIPS, CONTAINS 2% OR LESS OF THE FOLLOWING: WHEY, MONO AND DIGLYCERIDES, LEAVENING (SODIUM ALUMINUM PHOSPHATE, SODIUM BICARBINATE, CORN STARCH, MONOCALCIUM PHOSPHATE), VITAL WHEAT GLUTEN, SALT, SODIUM STEAROYL LACTYLATE, SORBITAN MONOSTEARATE, CALCIUM ACETATE, NONFAT MILK, GUAR GUM, XANTHAM GUM, POLYSORBATE 60, NATURAL AND ARTIFICIAL FLAVOR, SOY FLOUR, POTASSIUM SORBATE TO PRESERVE FRESHNESS.","Croissants, Sweet Rolls, Muffins & Other Pastries"
"487783","ENRICHED FLOUR (WHEAT FLOUR, NIACIN, FERROUS SULFATE OR REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, VEGETABLE OIL (PALM, COTTONSEED, SOYBEAN), SUGAR, CINNAMON, CONTAINS 2% OR LESS: YEAST, MONO AND DIGLYCERIDES, SALT, HONEY, MALTODEXTRIN, CORN STARCH, DEFATTED SOY FLOUR, CALCIUM CARBONATE, SODIUM STEAROYL LACTYLATE, SODIUM ACID PYROPHOSPHATE, EGG YOLK, WHEY, AGAR, POLYSORBATE 60, ANNATTO AND TURMERIC (COLOR), ASCORBIC ACID, BAKING SODA, CORN FLOUR, DATEM, ENZYMES, GUAR GUM, XANTHAN GUM, NATURAL AND ARTIFICIAL FLAVOR, CALCIUM PROPIONATE AND SODIUM PROPIONATE (TO RETAIN FRESHNESS), SOY LECITHIN, AMMONIUM SULFATE, MONOCALCIUM PHOSPHATE.","Croissants, Sweet Rolls, Muffins & Other Pastries"
"1661455","SUGAR, BLEACHED WHEAT FLOUR, BANANA PUREE, VEGETABLE OIL (SOYBEAN), EGGS, GLYCERIN, WATER, MOLASSES, FOOD STARCH-MODIFIED (CORN), WHEY, NATURAL & ARTIFICIAL FLAVORS, LEAVENING (SODIUM ACID PYROPHOSPHATE, BAKING SODA, MONOCALCIUM PHOSPHATE), MONO- AND DIGLYCERIDES, SALT, PRESERVATIVES (POTASSIUM SORBATE, SORBIC ACID, SODIUM PROPIONATE, PHOSPHORIC ACID), XANTHAN GUM, SORBITAN MONOSTEARATE, CELLULOSE GUM, POLYSORBATE 60, SOY FLOUR.","Croissants, Sweet Rolls, Muffins & Other Pastries"
"1380623","ENRICHED WHEAT FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE [VITAMIN B1], RIBOFLAVIN [VITAMIN B2], FOLIC ACID), CORN SYRUP, SUGAR, HIGH FRUCTOSE CORN SYRUP, PALM AND/OR CANOLA OIL, FRUIT FROM CONCENTRATE (WHITE GRAPE, STRAWBERRY), GLYCERINE, MODIFIED CORN STARCH, WHEY PERMEATE, PRECOOKED YELLOW CORN MEAL, SALT, LEAVENING (SODIUM ALUMINUM PHOSPHATE, BAKING SODA), COLOR ADDED (INCLUDES RED 40, BLUE 1), CITRIC ACID, MALIC ACID, NATURAL AND ARTIFICIAL FLAVOR, POTASSIUM SORBATE (A PRESERVATIVE), GELATIN, YELLOW CORN FLOUR, MODIFIED SOY PROTEIN, VITAMIN A PALMITATE, REDUCED IRON, NIACINAMIDE, PYRIDOXINE HYDROCHLORIDE (VITAMIN B6), RIBOFLAVIN (VITAMIN B2), THIAMINE MONONITRATE (VITAMIN B1).","Croissants, Sweet Rolls, Muffins & Other Pastries"
"645256","ENRICHED FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), SUGAR, WATER, VEGETABLE OIL (SOYBEAN AND/OR PALM), CORN SYRUP, YEAST, CONTAINS 2% OR LESS OF EACH OF THE FOLLOWING: CINNAMON, DEXTROSE, CORN STARCH, SALT, DISTILLED MONOGLYCERIDES, SOY FLOUR, MONOCALCIUM PHOSPHATE, CALCIUM CARBONATE, LEAVENING (SODIUM ACID PYROPHOSPHATE AND SODIUM BICARBONATE), AGAR, SOY LECITHIN, DATEM, NATURAL AND ARTIFICIAL FLAVOR, TITANIUM DIOXIDE (COLOR), MONOGLYCERIDES, ENZYMES, WHEAT STARCH, COLORED WITH TURMERIC AND ANNATTO, ASCORBIC ACID, DRY HONEY, CALCIUM STEARATE, HYDROXYLATED SOY LECITHIN, PRESERVED WITH CALCIUM PROPIONATE, SODIUM PROPIONATE, POTASSIUM SORBATE AND NATAMYCIN.","Croissants, Sweet Rolls, Muffins & Other Pastries"
"1656391","ENRICHED WHEAT FLOUR [WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID], CORN SYRUP, SUGAR, HIGH FRUCTOSE CORN SYRUP, PALM OIL, FRUIT FROM CONCENTRATE (WHITE GRAPE, STRAWBERRY), GLYCERINE, MODIFIED CORN STARCH, WHEY PERMEATE, PRECOOKED YELLOW CORN MEAL, SALT, LEAVENING (SODIUM ALUMINUM PHOSPHATE, BAKING SODA), COLOR ADDED (INCLUDES RED 40, BLUE 1), CITRIC ACID, MALIC ACID, NATURAL AND ARTIFICIAL FLAVOR, POTASSIUM SORBATE (A PRESERVATIVE), GELATIN, YELLOW CORN FLOUR, MODIFIED SOY PROTEIN, VITAMIN A PALMITATE, REDUCED IRON, NIACINAMIDE, PYRIDOXINE HYDROCHLORIDE (VITAMIN B6), RIBOFLAVIN (VITAMIN B2), THIAMIN MONONITRATE (VITAMIN B1).","Croissants, Sweet Rolls, Muffins & Other Pastries"
